date,value
2011/1/1,51.4
2011/2/1,52.9
2011/3/1,46.4
2011/4/1,45.7
2011/5/1,51.3
2011/6/1,50.7
2011/7/1,52.1
2011/8/1,51.9
2011/9/1,49.3
2011/10/1,50.6
2011/11/1,49.1
2011/12/1,50.2
2012/1/1,50.7
2012/2/1,50.5
2012/3/1,51.1
2012/4/1,50.7
2012/5/1,50.7
2012/6/1,49.9
2012/7/1,47.9
2012/8/1,47.7
2012/9/1,48
2012/10/1,46.9
2012/11/1,46.5
2012/12/1,45
2013/1/1,47.7
2013/2/1,48.5
2013/3/1,50.4
2013/4/1,51.1
2013/5/1,51.5
2013/6/1,52.3
2013/7/1,50.7
2013/8/1,52.2
2013/9/1,52.5
2013/10/1,54.2
2013/11/1,55.1
2013/12/1,55.2
2014/1/1,56.2
2014/2/1,55.5
2014/3/1,53.9
2014/4/1,49.4
2014/5/1,49.9
2014/6/1,51.5
2014/7/1,50.5
2014/8/1,52.2
2014/9/1,51.7
2014/10/1,52.4
2014/11/1,52
2014/12/1,52
2015/1/1,52.2
2015/2/1,51.6
2015/3/1,50.3
2015/4/1,49.9
2015/5/1,50.9
2015/6/1,50.1
2015/7/1,51.2
2015/8/1,51.7
2015/9/1,51
2015/10/1,52.4
2015/11/1,52.6
2015/12/1,52.6
2016/1/1,52.3
2016/2/1,50.1
2016/3/1,49.1
2016/4/1,48.2
2016/5/1,47.7
2016/6/1,48.1
2016/7/1,50.1
2016/8/1,50.3
2016/9/1,50.4
2016/10/1,51.4
2016/11/1,51.3
2016/12/1,52.4
2017/1/1,52.7
2017/2/1,53.3
2017/3/1,52.4
2017/4/1,52.7
2017/5/1,53.1
2017/6/1,52.4
2017/7/1,52.1
2017/8/1,52.2
2017/9/1,52.9
2017/10/1,52.8
2017/11/1,53.6
2017/12/1,54
2018/1/1,54.8
2018/2/1,54.1
2018/3/1,53.1
2018/4/1,53.8
2018/5/1,52.8
2018/6/1,53
2018/7/1,52.3
2018/8/1,52.5
2018/9/1,52.5
2018/10/1,52.9
2018/11/1,52.2
2018/12/1,52.6
2019/1/1,50.3
2019/2/1,48.9
2019/3/1,49.2
2019/4/1,50.2
2019/5/1,49.8
2019/6/1,49.3
2019/7/1,49.4
2019/8/1,49.3
2019/9/1,48.9
2019/10/1,48.4
2019/11/1,48.9
2019/12/1,48.4
2020/1/1,48.8
2020/2/1,47.8
2020/3/1,44.8
2020/4/1,41.9
2020/5/1,38.4
2020/6/1,40.1
2020/7/1,45.2
2020/8/1,47.2
2020/9/1,47.7
2020/10/1,48.7
2020/11/1,49
2020/12/1,50
2021/1/1,49.8
2021/2/1,51.4
2021/3/1,52.7
2021/4/1,53.6
